ENTRY_GROUP,METRIC,VALUE
greenplum,elapsed_time_metrics,1641442.0
greenplum,entries_length_metrics,1001.0
greenplum,metadata_payload_bytes_metrics,920003.0
greenplum,datacatalog_api_calls,3591.0
greenplum,google.cloud.datacatalog.v1beta1.DataCatalog.CreateEntry#200,897.0
greenplum,google.cloud.datacatalog.v1beta1.DataCatalog.CreateEntryGroup#200,1.0
greenplum,google.cloud.datacatalog.v1beta1.DataCatalog.CreateTag#200,896.0
greenplum,google.cloud.datacatalog.v1beta1.DataCatalog.CreateTagTemplate#200,2.0
greenplum,google.cloud.datacatalog.v1beta1.DataCatalog.GetEntry#403,897.0
greenplum,google.cloud.datacatalog.v1beta1.DataCatalog.ListTags#200,897.0
greenplum,google.cloud.datacatalog.v1beta1.DataCatalog.SearchCatalog#200,1.0
